url,status
https://fileimosscdn.lejiaolexue.com/shixun/bae303302d3282f0141406398e21e4cc7e42c45f.mp4,200
https://fileimosscdn.lejiaolexue.com/shixun/a526bc83456411c74ccdbec2242b3e75a9561f0e.mp4,200
https://fileimosscdn.lejiaolexue.com/shixun/7309ec0a89183f79ef3f154991172d168b62662f.mp4,200
https://fileimosscdn.lejiaolexue.com/shixun/e4b7fbdf16722838171e3f102c26872e9a0379cd.mp4,200
https://fileimosscdn.lejiaolexue.com/shixun/526ce4c42037d525c17110237883f6c0d5760ed5.mp4,200
https://fileimosscdn.lejiaolexue.com/shixun/a1f8b6db0529cb6662dc684d55b73f277a67d056.mp4,200
https://fileimosscdn.lejiaolexue.com/shixun/691115fd2c1bd1890b33419fe2377fa41f84f4d3.mp4,200
https://fileimosscdn.lejiaolexue.com/shixun/571563167c1eb1d2dcd44d71b10c64b9a29c01c0.mp4,200
https://fileimosscdn.lejiaolexue.com/shixun/366ec37f73dc9f372e53ece0d6937aab018a8a52.mp4,200
https://fileimosscdn.lejiaolexue.com/shixun/82bfa4b11558d57ef661161f81330f22e56f09ec.mp4,200
https://fileimosscdn.lejiaolexue.com/shixun/707bee778decc2e6b97b29cdda2e590f2e48971d.mp4,200
https://fileimosscdn.lejiaolexue.com/shixun/b6f3b00c597fa68595e8f8e2d2e069a45c05551c.mp4,200
https://fileimosscdn.lejiaolexue.com/shixun/73cc50ab871ff2e4212e7da569f79d7cd6c07f6c.mp4,200
https://fileimosscdn.lejiaolexue.com/shixun/12dd3e00e351551b0b304f258fcb8a4baf11dee5.mp4,200
https://fileimosscdn.lejiaolexue.com/shixun/26f4d32fd1c84129218032b3afb8faa38f767219.mp4,200
